iter	RMSE
0	109372.6402
500	24219.11243
1000	22500.0083
1500	21810.22832
2000	21346.14994
2500	21016.15556
3000	20746.39605
3500	20520.80162
4000	20322.2295
4500	20145.74749
5000	19990.74411
5500	19844.88768
6000	19711.79477
6500	19592.80511
7000	19479.89455
7500	19366.57108
8000	19257.63026
8500	19158.39566
9000	19064.181
9500	18973.28687
10000	18886.92353
10500	18804.39019
11000	18720.4093
11500	18644.86179
12000	18569.05775
12500	18496.75638
13000	18425.21944
13500	18356.45028
14000	18290.78014
14500	18226.01025
15000	18162.49997
15500	18100.08047
16000	18039.7192
16500	17979.39111
17000	17919.78048
17500	17863.70266
18000	17807.92534
18500	17754.13938
19000	17702.88535
19500	17651.18427
20000	17600.07951
20500	17550.54174
21000	17502.84572
21500	17454.80487
22000	17406.47977
22500	17361.63952
23000	17316.86242
23500	17270.39713
24000	17227.42436
24500	17183.66815
25000	17139.75357
25500	17097.31153
26000	17056.36148
26500	17016.28515
27000	16977.3102
27500	16937.47759
28000	16898.40799
28500	16859.52497
29000	16819.86051
29500	16780.51135
30000	16742.17831
30500	16704.77932
31000	16668.23812
31500	16632.47184
32000	16596.25444
32500	16560.69018
33000	16525.64192
33500	16490.42894
34000	16455.96027
34500	16422.30783
35000	16387.88138
35500	16355.08967
36000	16322.55851
36500	16290.31842
37000	16257.48493
37500	16225.75996
38000	16194.22083
38500	16162.62164
39000	16131.65138
39500	16101.11445
40000	16071.57879
40500	16041.29255
41000	16012.58533
41500	15982.18531
42000	15952.5478
42500	15923.68813
43000	15895.61707
43500	15866.93216
44000	15839.5348
44500	15811.753
45000	15784.90251
45500	15757.71943
46000	15730.61702
46500	15703.92124
47000	15677.18
47500	15651.62954
48000	15625.08348
48500	15598.30658
49000	15572.93545
49500	15546.63324
50000	15521.00085
50500	15495.68798
51000	15470.88234
51500	15445.96125
52000	15422.14374
52500	15397.30743
53000	15372.36334
53500	15347.71231
54000	15323.67788
54500	15299.9074
55000	15276.1235
55500	15252.0864
56000	15228.16635
56500	15204.63432
57000	15181.52481
57500	15158.7268
58000	15135.78505
58500	15113.38651
59000	15090.58999
59500	15067.6236
60000	15045.273
60500	15023.27682
61000	15000.87828
61500	14979.11172
62000	14956.60478
62500	14935.11759
63000	14913.60105
63500	14892.09424
64000	14871.17876
64500	14850.11046
65000	14828.99226
65500	14807.71644
66000	14786.73679
66500	14765.69971
67000	14745.23105
67500	14725.4337
68000	14705.2724
68500	14685.33021
69000	14665.29434
69500	14646.32572
69999	14626.83425
